Model;Scenario;Region;Emissions;Total energy investment;Total energy investment (supply side);Low carbon investment;Low carbon investment (supply side);Total_inv/GDP;LC_inv/GDP;Extraction and Conversion - Fossil Fuels;Electricity - Fossil Fuels w/o CCS;Hydrogen - Fossil;Electricity - Non-bio Renewables;Hydrogen - Non-fossil;Extraction and Conversion - Bioenergy;Extraction and Conversion - Nuclear;Electricity - T&D and Storage;CCS;Energy Efficiency;Energy Supply|Electricity|Coal|w/ CCS;Energy Supply|Electricity|Coal|w/o CCS;Energy Supply|Electricity|Gas|w/ CCS;Energy Supply|Electricity|Gas|w/o CCS;Energy Supply|Electricity|Oil|w/ CCS;Energy Supply|Electricity|Biomass|w/ CCS;Energy Supply|Electricity|Biomass|w/o CCS;Energy Supply|Electricity|Nuclear;Energy Supply|Electricity|Hydro;Energy Supply|Electricity|Solar;Energy Supply|Electricity|Wind;Energy Supply|Electricity|Geothermal;Energy Supply|Electricity|Ocean;Energy Supply|Electricity|Transmission and Distribution;Energy Supply|Electricity|Electricity Storage
REMIND-MAgPIE;1.5C;CHN;123.1458127;751.4273698;707.7707218;414.4162769;370.7596289;5.96%;3.28%;147.7072562;40.8439163;0.041878487;270.0071259;5.272500747;5.539459427;71.168064;163.7494048;3.4411159;43.65664804;0.000644953;13.74568749;0.000123193;27.08596745;0;0.00060872;3.62333E-05;71.168064;57.32494508;142.9642546;69.71792629;0;0;138.0045272;25.74487758
REMIND-MAgPIE;CPol;EU;48.2148808;247.9058316;247.9058316;136.8329704;136.8329704;1.14%;0.63%;71.18861297;9.079160253;0.168108173;80.83350133;0.03263174;14.51515452;10.50616322;61.57704994;0.005449493;0;0.002029067;1.323828313;0.000289867;7.755295707;0;0.0005435;0;10.46517221;8.58880006;39.1264563;33.11824497;0;0;51.78539017;9.791659767
REMIND-MAgPIE;NDC;EU;45.1384628;260.5471527;255.8679599;150.2098491;145.5306563;1.21%;0.69%;69.47709925;6.57691524;0.435118853;87.79435221;0.0938081;13.58002475;16.36803494;61.12635075;0.41625578;4.679192809;0.22313936;0.00017392;0.000289867;6.57671958;0;0.0005435;0;16.32529791;9.21965138;43.24238905;35.33231179;0;0;49.19483728;11.93151347
REMIND-MAgPIE;2C;EU;45.2319758;275.247908;271.8864274;168.9384611;165.5769804;1.27%;0.78%;70.21198552;5.69061892;0.187913313;100.7864733;0.19115982;13.75871592;11.69604698;68.77946121;0.584052347;3.361480681;0.38073262;0.00017392;0.000289867;5.69042326;0;0.0005435;0;11.65458211;8.54734188;55.90193164;36.33719981;0;0;53.48399435;15.29546687
REMIND-MAgPIE;1.5C;EU;43.8915218;299.029698;292.9732142;195.3577684;189.3012847;1.38%;0.90%;68.16757935;5.052600647;0.00808728;117.3936593;2.10577988;14.68487761;12.02888465;72.72780755;0.803937953;6.05648372;0.002159507;0.00017392;0.000311607;5.052404987;0;0.0005435;0;11.98730556;9.27932768;68.36611859;39.74821305;0;0;53.80585505;18.9219525
REMIND-MAgPIE;CPol;IND;54.7563197;162.7814004;162.7814004;47.49568626;47.49568626;4.94%;1.44%;53.74653403;26.77504197;0.270170227;32.0532386;0.162347073;5.151892332;4.907645573;39.71155941;0.002971133;0;0.00047828;24.99769552;5.79733E-05;1.777324713;0;0.000724667;0;4.907645573;4.533087113;18.14427647;9.37587502;0;0;39.32113075;0.39042866
REMIND-MAgPIE;NDC;IND;54.3305937;183.0383946;181.6907215;66.76876372;65.42109061;5.56%;2.03%;55.24388495;24.68095821;0.308454367;46.03812406;0.184304473;5.827714868;5.01757026;44.38432603;0.005384273;1.347673111;0.00047828;22.76904841;5.79733E-05;1.911888067;0;0.000724667;0;5.01757026;4.48248364;26.65059497;14.90504545;0;0;42.870193;1.514133027
REMIND-MAgPIE;2C;IND;46.0686947;223.0004367;214.7159001;128.3933133;120.1087767;6.78%;3.90%;50.50594987;12.6489842;0.032211433;84.90996873;1.326625527;9.291434948;10.16345;45.12173233;0.715543113;8.28453658;0.001311647;11.07845037;0.001616007;1.570512093;0;0.173340267;0.000442047;10.16345;9.960579567;50.54617394;24.40321522;0;0;34.40133977;10.72039257
REMIND-MAgPIE;1.5C;IND;43.2231997;248.5647192;233.1674872;155.5305797;140.1333478;7.63%;4.77%;47.48050873;12.21622776;0.031994033;98.78446571;2.98670642;11.00267258;9.432283073;46.80813312;4.424495813;15.39723193;0.00052176;11.07845037;0.000101453;1.137755653;0;0.148404487;0.0001087;9.432283073;11.60659468;61.15161263;26.0262584;0;0;33.99982371;12.80830941
REMIND-MAgPIE;CPol;USA;70.8632754;231.2115557;231.2115557;80.32582499;80.32582499;1.06%;0.37%;90.74251421;23.40293608;0.371442393;48.91910886;0.175362087;13.08594556;4.135057532;50.36156511;0.017623893;0;0.002029067;0.031812867;0.000289867;23.37110147;0;0.000724667;0;4.10216408;7.686713253;29.52871733;11.70367827;0;0;49.255231;1.106334107
