Model;Scenario;Region;Variable;Unit;2015;2016;2017;2018;2019;2020
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Electricity|Wind;billion US$2019;51,1428;27,4181;20,0435;15,9247;13,7037;12,3138
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Electricity|Wind;billion US$2019;3,5178;1,3336;0,9388;0,9118;0,3577;0,4387
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Electricity|Wind;billion US$2019;59,869;55,671;49,6986;33,0349;22,5803;19,5617
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Electricity|Wind;billion US$2019;0,2664;0,5163;0,1168;0,3475;0,6466;0,5597
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Electricity|Geothermal;billion US$2019;0,3206;0,0714;0,1121;0,1825;0,1262;0,1368
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Electricity|Geothermal;billion US$2019;0,1249;0,8405;0,7017;0,638;1,126;1,0118
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Electricity|Geothermal;billion US$2019;1,5096;0,1774;0,0267;0;1,2766;1,5751
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Electricity|Geothermal;billion US$2019;0,973;0,938;1,5134;2,0942;1,8824;1,6179
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Electricity|Geothermal;billion US$2019;0;0;0;0;0;0
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Electricity|Solar|CSP;billion US$2019;0;0;0;0,1447;0;0
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Electricity|Solar|CSP;billion US$2019;0;0,0612;0;1,2307;1,7154;1,5414
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Electricity|Solar|CSP;billion US$2019;1,6168;0,6481;0,4232;2,7662;4,1063;4,0459
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Electricity|Solar|CSP;billion US$2019;0,7473;0;0;0;0,1069;0,0911
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Electricity|Solar|CSP;billion US$2019;0;0;0;0;0;0
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Electricity|Hydro;billion US$2019;12,2768;16,5037;10,511;10,2184;12,0525;13,0265
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Electricity|Hydro;billion US$2019;44,6321;40,8207;40,4311;37,0555;25,7544;23,1424
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Electricity|Hydro;billion US$2019;3,4271;5,7847;7,1635;2,3785;1,409;1,7235
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Electricity|Hydro;billion US$2019;31,9501;21,1479;13,0213;16,51;4,7473;4,0634
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Electricity|Hydro;billion US$2019;2,0795;2,5585;4,1092;2,6924;0,8086;0,7581
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Electricity|Solar;billion US$2019;2,6218;1,5838;3,8853;8,1035;8,1299;7,4929
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Electricity|Solar;billion US$2019;23,397;56,5451;84,3181;71,7315;89,0674;80,034
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Electricity|Solar;billion US$2019;3,7024;4,8664;3,4601;7,6941;10,33;11,498
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Electricity|Solar;billion US$2019;56,0893;69,4406;65,8448;91,1798;99,4938;87,186
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Electricity|Solar;billion US$2019;0,4209;1,4343;1,1971;4,2818;14,7752;12,793
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Electricity|Other renewables;billion US$2019;12,5975;16,5751;10,6231;10,4009;12,1787;13,1634
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Electricity|Other renewables;billion US$2019;44,757;41,6613;41,1328;37,6935;26,8804;24,1542
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Electricity|Other renewables;billion US$2019;4,9366;5,9622;7,1902;2,3785;2,6856;3,2986
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Electricity|Other renewables;billion US$2019;32,9231;22,0859;14,5347;18,6042;6,6297;5,6814
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Electricity|Other renewables;billion US$2019;2,0795;2,5585;4,1092;2,6924;0,8086;0,7581
